City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
644,Yerbogachen,61.2767,108.0108,31.62,55,100,6.15,RU,2022-04-23 06:58:18,overcast clouds
645,Vila Franca Do Campo,37.7167,-25.4333,57.61,78,100,7.36,PT,2022-04-23 06:58:19,overcast clouds
646,Lieksa,63.3167,30.0167,37.51,81,100,7.25,FI,2022-04-23 06:58:19,overcast clouds
647,Sechura,-5.5569,-80.8222,68.05,83,65,10.54,PE,2022-04-23 06:58:20,broken clouds
648,Juegang,32.3174,121.1855,66.36,88,100,9.6,CN,2022-04-23 06:58:20,light rain
649,Kiruna,67.8557,20.2251,31.12,80,100,5.75,SE,2022-04-23 06:58:20,overcast clouds
650,Khani,41.9563,42.9566,56.77,40,7,3.67,GE,2022-04-23 06:58:21,clear sky
651,Lafayette,30.2335,-92.0668,68.92,85,0,1.99,US,2022-04-23 06:54:19,clear sky
652,Iquitos,-3.7481,-73.2472,73.44,94,20,1.14,PE,2022-04-23 06:54:54,few clouds
653,Columbus,39.9612,-82.9988,60.35,60,0,3.44,US,2022-04-23 06:57:26,clear sky
654,Laramie,41.3114,-105.5911,39.52,57,100,8.01,US,2022-04-23 06:58:22,overcast clouds
655,Shache,38.4167,77.2406,79.27,16,97,4.21,CN,2022-04-23 06:58:22,overcast clouds
656,Pandamatenga,-18.5278,25.627,69.37,71,55,6.44,BW,2022-04-23 06:58:22,light rain
657,Poum,-20.2333,164.0167,78.89,69,51,9.31,NC,2022-04-23 06:59:38,broken clouds
658,Muzaffargarh,30.0754,71.1921,91.42,14,3,3.13,PK,2022-04-23 06:59:38,clear sky
659,Lasa,46.6166,10.7002,47.7,96,100,5.21,IT,2022-04-23 06:59:39,overcast clouds
660,La Asuncion,11.0333,-63.8628,76.73,88,8,11.5,VE,2022-04-23 06:59:39,clear sky
661,Madang,-5.2246,145.7966,80.08,80,100,0.85,PG,2022-04-23 06:59:40,overcast clouds
662,Dehloran,32.6941,47.2679,87.51,6,94,7.11,IR,2022-04-23 06:59:40,overcast clouds
663,Rocha,-34.4833,-54.3333,50.58,87,62,6.49,UY,2022-04-23 06:59:41,broken clouds
664,Dukat,62.55,155.55,19.11,86,100,1.92,RU,2022-04-23 06:59:41,overcast clouds
665,Cururupu,-1.8283,-44.8683,73.6,98,100,1.32,BR,2022-04-23 06:59:41,moderate rain
666,Niquero,20.0431,-77.5828,73.44,86,55,15.52,CU,2022-04-23 06:59:42,broken clouds
667,Umea,63.8284,20.2597,42.73,65,100,8.05,SE,2022-04-23 06:59:42,overcast clouds
668,Okha,53.5739,142.9478,30.09,81,100,13.24,RU,2022-04-23 06:59:43,overcast clouds
669,Guangyuan,32.442,105.823,82.13,46,100,7.43,CN,2022-04-23 06:59:43,overcast clouds
670,Talara,-4.5772,-81.2719,69.82,82,5,11.86,PE,2022-04-23 06:59:44,clear sky
671,Pa Sang,18.5262,98.9394,100.78,7,25,1.01,TH,2022-04-23 06:59:44,scattered clouds
672,Fortuna,40.5982,-124.1573,47.93,94,100,3.44,US,2022-04-23 06:59:45,overcast clouds
673,Anahuac,27.2333,-100.15,73.98,78,72,28.34,MX,2022-04-23 06:59:45,broken clouds
674,Dhidhdhoo,6.8833,73.1,84.25,72,79,9.06,MV,2022-04-23 06:59:45,broken clouds
675,Chabahar,25.2919,60.643,84.47,64,100,12.39,IR,2022-04-23 06:59:46,overcast clouds
