City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Kayes,ML,2022-04-09 00:36:48,14.0,-11.0,91.18,12,5,6.35
134,Cabedelo,BR,2022-04-09 00:36:49,-6.9811,-34.8339,79.47,78,66,10.18
135,Nikolskoye,RU,2022-04-09 00:36:49,59.7035,30.7861,35.8,94,66,6.53
136,East London,ZA,2022-04-09 00:36:50,-33.0153,27.9116,62.13,80,97,9.78
137,Sabang,ID,2022-04-09 00:37:50,5.8933,95.3214,82.22,72,100,4.45
138,Fitii,PF,2022-04-09 00:37:50,-16.7333,-151.0333,81.97,73,100,16.67
139,Kununurra,AU,2022-04-09 00:37:51,-15.7667,128.7333,85.98,45,99,3.44
140,Port Pirie,AU,2022-04-09 00:37:51,-33.1833,138.0167,77.09,41,0,6.33
141,Chernyshevskiy,RU,2022-04-09 00:37:51,63.0128,112.4714,18.75,95,100,6.91
142,Ponta Do Sol,PT,2022-04-09 00:37:52,32.6667,-17.1,60.71,73,36,0.72
143,Saint-Pierre,RE,2022-04-09 00:37:53,-21.3393,55.4781,76.68,80,100,10.36
144,Gamba,GA,2022-04-09 00:37:53,-2.65,10.0,77.56,90,100,3.44
145,Tasiilaq,GL,2022-04-09 00:37:53,65.6145,-37.6368,19.56,95,100,3.94
146,Siria,SY,2022-04-09 00:37:54,35.0,38.0,48.85,91,70,20.6
147,Tibu,CO,2022-04-09 00:37:54,8.639,-72.7358,76.53,90,67,2.28
148,Touros,BR,2022-04-09 00:33:56,-5.1989,-35.4608,80.06,81,99,11.99
149,Berlevag,NO,2022-04-09 00:37:54,70.8578,29.0864,33.6,86,100,33.29
150,Dickinson,US,2022-04-09 00:37:55,29.4608,-95.0513,73.56,26,0,10.36
151,Cape Town,ZA,2022-04-09 00:34:32,-33.9258,18.4232,59.92,70,0,11.01
152,Codrington,AU,2022-04-09 00:37:55,-38.2667,141.9667,69.8,60,97,11.16
153,Manta,EC,2022-04-09 00:37:55,-0.95,-80.7333,78.58,78,20,5.75
154,Coihaique,CL,2022-04-09 00:37:56,-45.5752,-72.0662,47.01,93,0,0.0
155,San Policarpo,PH,2022-04-09 00:37:56,12.1791,125.5072,76.33,89,100,10.65
156,Kavieng,PG,2022-04-09 00:37:56,-2.5744,150.7967,80.4,83,100,11.25
157,Elko,US,2022-04-09 00:37:29,41.0002,-115.5012,71.62,11,100,21.99
158,Clyde River,CA,2022-04-09 00:37:57,70.4692,-68.5914,-3.77,84,0,6.91
159,Tucurui,BR,2022-04-09 00:37:57,-3.7661,-49.6725,74.46,98,100,3.18
160,Dalbandin,PK,2022-04-09 00:37:58,28.8947,64.4101,76.66,11,0,5.99
161,Partizanskoye,RU,2022-04-09 00:37:58,55.5006,94.39,36.46,76,100,12.62
162,Pyapon,MM,2022-04-09 00:37:58,16.2833,95.6833,82.99,68,25,4.47
163,Bethel,US,2022-04-09 00:37:59,41.3712,-73.414,54.43,58,40,3.44
164,Yamethin,MM,2022-04-09 00:37:59,20.4333,96.15,80.74,56,0,6.71
165,Whitecourt,CA,2022-04-09 00:37:21,54.1502,-115.6855,54.64,28,20,16.11
166,Praia,CV,2022-04-09 00:37:59,14.9215,-23.5087,73.94,60,0,14.97
167,Severo-Kurilsk,RU,2022-04-09 00:38:00,50.6789,156.125,32.92,75,80,13.04
168,Pavlodar,KZ,2022-04-09 00:38:00,52.3,76.95,26.4,80,0,6.71
169,Iroquois Falls,CA,2022-04-09 00:38:01,48.7669,-80.6831,31.86,95,100,4.36
170,Kodiak,US,2022-04-09 00:38:01,57.79,-152.4072,33.31,44,0,21.85
171,Poum,NC,2022-04-09 00:38:01,-20.2333,164.0167,81.57,76,100,9.8
172,Muros,ES,2022-04-09 00:38:02,42.7762,-9.0603,49.84,94,100,4.14
173,Lata,PT,2022-04-09 00:38:02,40.1629,-8.3327,56.91,99,100,5.35
174,Marolambo,MG,2022-04-09 00:38:03,-20.05,48.1167,68.79,98,100,1.3
175,Karimganj,IN,2022-04-09 00:38:03,24.8667,92.35,74.32,79,1,2.98
176,San Quintin,MX,2022-04-09 00:38:03,30.4833,-115.95,74.8,42,100,6.24
177,Jamestown,US,2022-04-09 00:35:54,42.097,-79.2353,40.59,76,100,3.44
178,Kapaa,US,2022-04-09 00:38:04,22.0752,-159.319,79.2,76,40,18.41
179,Namibe,AO,2022-04-09 00:38:05,-15.1961,12.1522,70.05,79,3,6.78
180,Grand Gaube,MU,2022-04-09 00:39:05,-20.0064,57.6608,76.37,86,49,7.0
181,Port-Gentil,GA,2022-04-09 00:39:05,-0.7193,8.7815,81.21,85,100,11.1
182,Kapustin Yar,RU,2022-04-09 00:39:06,48.5831,45.7372,50.32,89,100,8.21
183,Hohhot,CN,2022-04-09 00:39:06,40.8106,111.6522,55.69,24,0,6.71
184,Frisco,US,2022-04-09 00:34:41,33.1507,-96.8236,66.43,25,0,3.0
185,Chirongui,YT,2022-04-09 00:39:06,-12.9319,45.1483,82.33,75,100,12.41
186,Kanye,BW,2022-04-09 00:39:07,-24.9667,25.3327,54.3,97,100,17.16
187,San Cristobal,VE,2022-04-09 00:39:07,7.7669,-72.225,73.58,90,97,1.63
188,Ahipara,NZ,2022-04-09 00:39:07,-35.1667,173.1667,71.44,49,3,5.75
189,Tuktoyaktuk,CA,2022-04-09 00:39:08,69.4541,-133.0374,14.0,79,40,8.05
190,Buchanan,LR,2022-04-09 00:39:08,5.8808,-10.0467,80.11,91,100,5.41
191,Melfi,IT,2022-04-09 00:39:08,40.9965,15.6514,44.37,94,73,9.73
192,Souillac,MU,2022-04-09 00:39:09,-20.5167,57.5167,75.58,94,75,13.8
193,Flinders,AU,2022-04-09 00:38:24,-34.5833,150.8552,69.19,90,64,5.99
194,Vila Velha,BR,2022-04-09 00:39:09,-20.3297,-40.2925,80.55,82,75,3.44
195,Joplin,US,2022-04-09 00:39:10,37.0842,-94.5133,49.71,43,20,9.22
196,Procida,IT,2022-04-09 00:39:10,40.7569,14.0144,59.41,93,100,5.99
197,Naranjal,EC,2022-04-09 00:39:10,-2.6667,-79.6167,76.46,95,100,1.88
198,Meulaboh,ID,2022-04-09 00:39:11,4.1363,96.1285,78.03,83,33,3.38
199,Kungurtug,RU,2022-04-09 00:39:11,50.5994,97.5228,32.2,78,68,7.27
200,Solnechnyy,RU,2022-04-09 00:39:12,50.7214,136.6319,30.16,80,99,4.23
201,Oriximina,BR,2022-04-09 00:39:12,-1.7656,-55.8661,75.74,94,100,4.92
202,Smithers,CA,2022-04-09 00:39:13,54.7804,-127.1743,41.32,48,75,21.85
203,Maceio,BR,2022-04-09 00:39:13,-9.6658,-35.7353,74.64,94,40,4.61
204,Matara,LK,2022-04-09 00:39:13,5.9485,80.5353,76.23,88,89,6.38
205,Mazamet,FR,2022-04-09 00:39:14,43.49,2.373,52.66,78,0,16.11
206,Provideniya,RU,2022-04-09 00:39:14,64.3833,-173.3,7.88,85,100,7.76
207,Vanimo,PG,2022-04-09 00:39:14,-2.6741,141.3028,82.27,76,100,2.01
208,Bengkulu,ID,2022-04-09 00:39:15,-3.8004,102.2655,77.14,81,73,2.73
209,Cabo San Lucas,MX,2022-04-09 00:39:15,22.8909,-109.9124,85.3,66,17,9.93
210,Ancud,CL,2022-04-09 00:39:15,-41.8697,-73.8203,49.23,78,80,3.74
211,Hofn,IS,2022-04-09 00:39:15,64.2539,-15.2082,29.79,59,99,12.1
212,Ca Mau,VN,2022-04-09 00:39:16,9.1769,105.15,81.19,77,94,2.35
213,Ribeira Grande,PT,2022-04-09 00:39:16,38.5167,-28.7,58.66,74,14,31.7
214,Oistins,BB,2022-04-09 00:39:17,13.0667,-59.5333,77.09,88,75,16.11
215,Ladario,BR,2022-04-09 00:39:01,-19.0047,-57.6017,81.07,43,18,2.24
216,Hualmay,PE,2022-04-09 00:39:17,-11.0964,-77.6139,67.77,85,75,5.26
217,Concepcion Del Oro,MX,2022-04-09 00:39:17,24.6333,-101.4167,61.12,42,100,15.77
218,Chegdomyn,RU,2022-04-09 00:39:18,51.1167,133.0167,29.7,91,100,2.01
219,Salinas,US,2022-04-09 00:39:18,36.6777,-121.6555,70.16,53,0,13.8
220,Muzhi,RU,2022-04-09 00:39:18,65.3667,64.6667,-4.36,100,100,3.83
221,Fairbanks,US,2022-04-09 00:38:11,64.8378,-147.7164,16.25,45,100,14.97
222,Teguldet,RU,2022-04-09 00:39:19,57.3064,88.1667,31.23,96,100,12.84
223,Vostok,RU,2022-04-09 00:39:19,46.4856,135.8833,40.57,83,50,3.27
224,Seoul,KR,2022-04-09 00:39:20,37.5683,126.9778,60.37,59,75,4.61
225,Hermanus,ZA,2022-04-09 00:40:20,-34.4187,19.2345,57.79,77,16,22.53
226,Garissa,KE,2022-04-09 00:40:21,-0.4536,39.6401,79.54,73,100,14.23
227,Fomboni,KM,2022-04-09 00:40:21,-12.28,43.7425,82.81,72,12,13.18
228,Murchison,NZ,2022-04-09 00:40:21,-41.8,172.3333,68.04,44,0,2.3
229,Faya,SA,2022-04-09 00:40:22,18.3851,42.4509,57.72,39,0,1.16
230,Narok,KE,2022-04-09 00:40:22,-1.0783,35.8601,56.66,90,53,4.9
231,Lompoc,US,2022-04-09 00:40:23,34.6391,-120.4579,86.77,59,8,5.01
232,Motril,ES,2022-04-09 00:40:23,36.7507,-3.5179,58.05,80,100,11.68
233,Sol-Iletsk,RU,2022-04-09 00:40:23,51.1631,54.9918,46.02,68,100,13.11
234,Wanning,CN,2022-04-09 00:40:24,18.8003,110.3967,73.22,66,32,5.68
235,Coquimbo,CL,2022-04-09 00:40:24,-29.9533,-71.3436,60.03,87,48,3.6
236,Norman Wells,CA,2022-04-09 00:40:24,65.282,-126.8329,41.04,38,75,3.44
237,Maroantsetra,MG,2022-04-09 00:40:25,-15.4333,49.7333,76.1,89,80,2.24
238,Saint-Philippe,RE,2022-04-09 00:40:25,-21.3585,55.7679,76.59,89,71,10.11
239,Ericeira,PT,2022-04-09 00:40:25,38.9627,-9.4156,61.34,94,98,11.23
240,Thompson,CA,2022-04-09 00:40:26,55.7435,-97.8558,42.96,31,20,5.75
241,Homer,US,2022-04-09 00:40:26,59.6425,-151.5483,30.09,80,100,11.99
242,Mutoko,ZW,2022-04-09 00:40:27,-17.397,32.2268,59.0,91,100,2.37
243,Bakel,SN,2022-04-09 00:40:27,14.905,-12.4568,90.68,15,11,12.55
244,Talnakh,RU,2022-04-09 00:40:27,69.4865,88.3972,-0.8,96,97,3.58
245,Along,IN,2022-04-09 00:40:28,28.1667,94.7667,66.6,83,100,0.89
246,Prince Rupert,CA,2022-04-09 00:37:29,54.3161,-130.3201,44.69,65,75,25.32
247,Porto Velho,BR,2022-04-09 00:40:06,-8.7619,-63.9039,80.65,83,20,2.3
248,Guerrero Negro,MX,2022-04-09 00:40:28,27.9769,-114.0611,73.33,43,89,13.4
249,Kijang,KR,2022-04-09 00:40:29,35.2442,129.2139,63.86,49,0,13.15
250,Cardenas,CU,2022-04-09 00:40:29,23.0375,-81.2047,74.16,68,96,14.47
251,Dingle,PH,2022-04-09 00:40:29,10.9995,122.6711,79.0,80,100,4.09
252,Imbituba,BR,2022-04-09 00:40:30,-28.24,-48.6703,70.83,92,100,7.83
253,Nouakchott,MR,2022-04-09 00:40:30,18.0858,-15.9785,70.27,60,0,15.95
254,Bulgan,MN,2022-04-09 00:40:30,48.8125,103.5347,53.29,37,99,23.78
255,Jambi,ID,2022-04-09 00:40:31,-1.6,103.6167,76.37,92,100,1.5
256,General Cepeda,MX,2022-04-09 00:40:31,25.3833,-101.45,67.06,29,99,9.46
257,Angoche,MZ,2022-04-09 00:40:31,-16.2325,39.9086,75.74,81,36,5.88
258,Hamilton,US,2022-04-09 00:36:38,39.1834,-84.5333,44.04,76,20,14.97
